Common Name,Latitude,Longitude,Status,Primary ID
American Elm,40.34860781,-74.66138922,Alive,576
American Elm,40.34856768,-74.65969864,Alive,571
American Elm,40.34885971,-74.65946168,Alive,568
American Elm,40.34798114,-74.65691792,Alive,558
American Elm,40.34824996,-74.66005429,Alive,556
American Elm,40.3434721,-74.65847427,Alive,539
American Elm,40.34359119,-74.65855349,Alive,538
American Elm,40.34900085,-74.65975114,Alive,524
American Elm,40.34765651,-74.66228714,Alive,459
American Elm,40.34783812,-74.66239133,Alive,458
American Elm,40.34812546,-74.65809682,Alive,436
American Elm,40.34751983,-74.65563807,Alive,406
American Elm,40.34800778,-74.65572049,Alive,405
American Elm,40.34833858,-74.6557735,Alive,390
American Elm,40.34867501,-74.65681919,Alive,361
American Elm,40.34892416,-74.65977677,Alive,277
American Elm,40.34935284,-74.66008149,Alive,179
American Elm,40.34839276,-74.66014467,Alive,153
American Elm,40.34852958,-74.66019248,Alive,152
American Elm,40.34874081,-74.66018788,Removed,150
American Elm,40.34494163,-74.65880697,Alive,61
American Holly,40.34136232,-74.66569573,Alive,9380
American Holly,40.34137459,-74.66569573,Alive,9379
American Holly,40.34138583,-74.665685,Alive,9378
American Holly,40.34139299,-74.66566756,Alive,9377
American Holly,40.34139401,-74.66564745,Alive,9376
American Holly,40.34138072,-74.66565281,Alive,9375
American Holly,40.34136948,-74.66564208,Alive,9374
American Holly,40.34135517,-74.66565147,Alive,9373
American Holly,40.34579593,-74.64041926,Alive,8401
American Holly,40.34598349,-74.63999145,Alive,8398
American Holly,40.34556237,-74.63956229,Alive,8384
American Holly,40.34548776,-74.63951133,Alive,8382
American Holly,40.34045614,-74.63600501,Alive,8032
American Holly,40.34984189,-74.64846991,Alive,7776
American Holly,40.35015668,-74.64876093,Alive,7761
American Holly,40.35015208,-74.64879848,Alive,7760
American Holly,40.35095848,-74.64901172,Alive,7734
American Holly,40.35094468,-74.64904793,Alive,7733
American Holly,40.35092884,-74.64906,Alive,7732
American Holly,40.35094162,-74.64907877,Alive,7731
American Holly,40.35120888,-74.6492853,Alive,7697
American Holly,40.3512886,-74.64945696,Alive,7686
American Holly,40.35135912,-74.64936309,Alive,7677
American Holly,40.35137905,-74.64938588,Alive,7676
American Holly,40.35137292,-74.64946903,Alive,7673
American Holly,40.35140818,-74.64940198,Alive,7672
American Holly,40.35143271,-74.64937918,Alive,7669
American Holly,40.35144702,-74.6494516,Alive,7666
American Holly,40.35146542,-74.64946367,Alive,7663
American Holly,40.35146031,-74.64941941,Alive,7662
American Holly,40.35148381,-74.64948379,Alive,7661
American Holly,40.35148279,-74.64944221,Alive,7660
American Holly,40.3514879,-74.64946367,Alive,7659
American Holly,40.3515155,-74.64951195,Alive,7657
American Holly,40.3515063,-74.64948647,Alive,7655
American Holly,40.35153185,-74.6494972,Alive,7653
American Holly,40.35155638,-74.64953206,Alive,7651
American Holly,40.35158142,-74.64955285,Alive,7649
American Holly,40.35037438,-74.64870058,Alive,7521
American Holly,40.35036978,-74.64874484,Alive,7520
American Holly,40.35050725,-74.64890175,Alive,7512
American Holly,40.35046892,-74.64888297,Alive,7511
American Holly,40.35040453,-74.6488186,Alive,7509
American Holly,40.33970482,-74.66676056,Alive,7411
American Holly,40.34006208,-74.66707438,Alive,7369
American Holly,40.34008508,-74.66708511,Alive,7368
American Holly,40.34275658,-74.66180451,Stump,7353
American Holly,40.34271569,-74.66178909,Alive,7352
American Holly,40.34269065,-74.66182932,Alive,7350
American Holly,40.34270189,-74.66187358,Alive,7349
American Holly,40.34252914,-74.66193661,Alive,7345
American Holly,40.34168329,-74.66118023,Alive,7325
American Holly,40.34131581,-74.66094151,Alive,7301
American Holly,40.34132501,-74.66095626,Alive,7300
American Holly,40.34132143,-74.66096565,Alive,7299
American Holly,40.34157545,-74.66002822,Alive,7296
American Holly,40.34157494,-74.66007516,Alive,7295
American Holly,40.34208501,-74.66094084,Alive,7263
American Holly,40.3492174,-74.66420978,Alive,7230
American Holly,40.34925778,-74.66390535,Alive,7223
American Holly,40.3492266,-74.66392145,Alive,7222
American Holly,40.34915506,-74.66382489,Alive,7218
American Holly,40.34914944,-74.6638222,Alive,7217
American Holly,40.34875083,-74.66365457,Alive,7183
