Common Name,Latitude,Longitude,Photos,Primary ID,Status,Tree Number,Overall Monetary Benefit,Stormwater Monetary Benefit,Runoff Prevention (Gallons),Property Value Total,Energy Savings,Energy Saved (kWh),Natural Gas Savings,Heat Prevention (Therms),Air Quality Monetary Benefit,Pollutants removed (lb),Carbon Monetary Benefit,Carbon Stored (lb),Carbon Sequestered (lb),Carbon Avoided (lb)
Accolade Elm,40.33934346,-74.63551819,,5144,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33936084,-74.63553965,,5143,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33938026,-74.63556379,,5142,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33940071,-74.6355933,,5139,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
American Basswood,40.3480047,-74.64985058,,8586,Alive,1,209.815,33.6798,4209.98,37.3307,25.554,182.398,87.6601,62.2586,23.2712,4.80641,2.31879,694.248,228.198,548.229
American Basswood,40.34808136,-74.64765385,,8518,Alive,1,171.691,21.9915,2748.94,46.0332,17.8364,127.312,68.3391,48.5363,15.9483,3.30737,1.54278,461.91,196.012,382.658
American Basswood,40.34761246,-74.66182688,,3376,Alive,1,112.856,53.4511,4949.17,0.0676618,22.3688,351.711,22.2266,24.5164,10.3954,5.0806,4.34649,579.532,0.462374,775.564
American Basswood,40.34880706,-74.63741386,,960,Alive,1,110.36,33.1512,3069.56,41.2663,11.8873,186.907,14.0375,15.4836,5.24132,2.5866,4.77669,636.892,302.584,412.153
American Beech,40.3401551,-74.66644809,image_pg_5d8df15d9af59.jpg,9441,Alive,1,61.3928,1.64483,205.604,51.8172,1.1158,7.96428,5.67471,4.03033,0.990754,0.207034,0.149523,44.7675,25.1924,23.938
American Beech,40.34653799,-74.65715624,image_pg_5d497f17d072b.jpg,9428,Alive,1,,,,,,,,,,,,,,
American Beech,40.34924091,-74.65634018,,9419,Alive,1,,,,,,,,,,,,,,
American Beech,40.33974775,-74.66610879,image_pg_5d88b61ebffc0.jpg,9353,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34038305,-74.63633493,,9352,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34037692,-74.636347,,9351,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34036977,-74.63636175,,9350,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34149929,-74.66549054,image_pg_5d8def99185cf.jpg,9348,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34038919,-74.63634297,,9347,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34651499,-74.65334617,,9133,Alive,1,139.506,14.0724,1759.05,49.5378,14.0897,100.569,49.4976,35.1545,11.0444,2.3196,1.26426,378.521,141.248,302.277
American Beech,40.34645315,-74.65382628,,9112,Alive,1,207.016,34.8611,4357.64,30.2485,26.3125,187.812,89.3745,63.4762,23.9874,4.9529,2.23193,668.241,191.089,564.502
American Beech,40.34245912,-74.66025822,,8888,Alive,1,188.48,34.8611,4357.64,12.1033,26.3125,187.812,89.3745,63.4762,23.9874,4.9529,1.84137,551.309,76.437,564.502
American Beech,40.34267582,-74.66023542,,8884,Alive,1,162.79,19.7081,2463.51,47.2063,16.5578,118.185,63.4074,45.0336,14.5073,3.01497,1.40313,420.098,182.444,355.227
American Beech,40.34275811,-74.6600356,,8879,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34297123,-74.65982907,,8855,Alive,1,184.425,25.4605,3182.56,43.9129,20.1915,144.122,74.7885,53.1169,18.1935,3.76734,1.87842,562.4,211.998,433.184
American Beech,40.34296714,-74.65965874,,8853,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
American Beech,40.34307958,-74.65863951,,8804,Alive,1,72.3672,3.56458,445.573,51.6578,2.48762,17.756,12.164,8.63923,2.1922,0.457988,0.300932,90.0995,45.8709,53.3689
American Beech,40.34304329,-74.6587877,,8759,Alive,1,112.26,9.74512,1218.14,50.6079,8.75817,62.5137,35.0637,24.9032,7.24097,1.51598,0.843788,252.631,102.619,187.896
American Beech,40.34269729,-74.65855971,,8745,Alive,1,72.3672,3.56458,445.573,51.6578,2.48762,17.756,12.164,8.63923,2.1922,0.457988,0.300932,90.0995,45.8709,53.3689
American Beech,40.34254141,-74.65846583,,8735,Alive,1,72.3672,3.56458,445.573,51.6578,2.48762,17.756,12.164,8.63923,2.1922,0.457988,0.300932,90.0995,45.8709,53.3689
American Beech,40.34246219,-74.6589084,,8684,Alive,1,112.26,9.74512,1218.14,50.6079,8.75817,62.5137,35.0637,24.9032,7.24097,1.51598,0.843788,252.631,102.619,187.896
American Beech,40.34459032,-74.65238392,,8320,Alive,1,89.0657,1.81995,168.514,83.4219,1.04439,16.4213,2.0607,2.273,0.193975,0.109252,0.524798,69.973,36.7399,36.2109
American Beech,40.34471707,-74.65248317,,8316,Alive,1,94.49,3.91059,362.092,82.7909,2.12804,33.4598,4.24462,4.68191,0.41778,0.23377,0.998137,133.085,64.7296,73.7828
American Beech,40.34524654,-74.65287142,,8310,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.34533597,-74.65288214,,8309,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.34480855,-74.65240471,,8295,Alive,1,94.49,3.91059,362.092,82.7909,2.12804,33.4598,4.24462,4.68191,0.41778,0.23377,0.998137,133.085,64.7296,73.7828
American Beech,40.34469816,-74.65233229,,8293,Alive,1,94.49,3.91059,362.092,82.7909,2.12804,33.4598,4.24462,4.68191,0.41778,0.23377,0.998137,133.085,64.7296,73.7828
American Beech,40.34467312,-74.65227596,,8292,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.3444784,-74.65211637,,8289,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.34445642,-74.65206273,,8288,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.34583835,-74.65320803,,8251,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.34624669,-74.65348162,,8238,Alive,1,101.408,6.61274,612.29,83.9464,3.0687,48.25,5.67525,6.25993,0.636889,0.352601,1.46761,195.682,98.1548,106.397
American Beech,40.34624106,-74.65327106,,8231,Alive,1,94.49,3.91059,362.092,82.7909,2.12804,33.4598,4.24462,4.68191,0.41778,0.23377,0.998137,133.085,64.7296,73.7828
American Beech,40.3445755,-74.66096699,,8113,Alive,1,176.082,37.5969,3481.2,98.0026,13.7026,215.45,15.4725,17.0665,6.28487,3.08496,5.02233,669.644,291.664,475.093
American Beech,40.34462508,-74.66078058,,8112,Alive,1,174.596,39.0599,3616.65,93.4095,14.4083,226.545,16.0359,17.688,6.63885,3.25589,5.04372,672.496,277.637,499.559
